geracao,melhor_aptidao,aptidao_media
0,0.141101,-0.007018
1,0.141101,0.022420
2,0.145792,0.051493
3,0.145792,0.064723
4,0.145792,0.085408
5,0.145792,0.080152
6,0.157405,0.077831
7,0.157405,0.082894
8,0.157405,0.086751
9,0.157739,0.082908
10,0.157739,0.081428
11,0.157739,0.085237
12,0.159024,0.078207
13,0.161064,0.074437
14,0.161064,0.089718
15,0.161064,0.087380
16,0.161064,0.089065
17,0.161392,0.084550
18,0.161392,0.086908
19,0.161392,0.088016
20,0.161392,0.094739
21,0.161392,0.085056
22,0.161392,0.081837
23,0.161392,0.094516
24,0.161392,0.099612
25,0.162570,0.081601
26,0.162570,0.080428
27,0.162609,0.066973
28,0.162609,0.074526
29,0.162609,0.072069
30,0.162609,0.086419
31,0.163279,0.086280
32,0.163279,0.094293
33,0.163279,0.086485
34,0.163683,0.083066
35,0.163683,0.094928
36,0.163683,0.099070
37,0.163683,0.108635
38,0.163683,0.107312
39,0.163683,0.104496
40,0.163683,0.105535
41,0.163683,0.105820
42,0.163683,0.103866
43,0.163683,0.104324
44,0.163683,0.100994
45,0.163683,0.102263
46,0.164751,0.102632
47,0.165114,0.109097
48,0.165114,0.108651
49,0.165114,0.107243
50,0.165114,0.104232
51,0.165344,0.107884
52,0.165344,0.101226
53,0.165344,0.109621
54,0.165344,0.108927
55,0.165344,0.110093
56,0.165344,0.087490
57,0.165344,0.098046
58,0.165344,0.089485
59,0.165344,0.101482
60,0.165344,0.097180
61,0.165344,0.099222
62,0.165382,0.097709
63,0.165472,0.110786
64,0.165472,0.109903
65,0.165472,0.107032
66,0.165472,0.107595
67,0.165472,0.104132
68,0.165472,0.100860
69,0.165472,0.100789
70,0.165472,0.103637
71,0.166504,0.100861
72,0.166504,0.090610
73,0.166504,0.091831
74,0.166504,0.108121
75,0.166504,0.094504
76,0.166504,0.088838
77,0.166504,0.089857
78,0.166504,0.103777
79,0.166523,0.105116
80,0.166523,0.105213
81,0.166523,0.104317
82,0.166523,0.111010
83,0.166568,0.109549
84,0.166568,0.109831
85,0.166568,0.111532
86,0.166568,0.097790
87,0.166789,0.097508
88,0.166789,0.105269
89,0.166789,0.108599
90,0.166789,0.109611
91,0.166789,0.105946
92,0.166789,0.102730
93,0.166789,0.101190
94,0.166789,0.099276
95,0.166789,0.098951
96,0.166789,0.094945
97,0.166789,0.093171
98,0.166789,0.090068
99,0.166789,0.071236
100,0.166789,0.079771
101,0.166789,0.084672
102,0.166789,0.075058
103,0.166789,0.067226
104,0.166789,0.075783
105,0.166789,0.062897
106,0.166789,0.077927
107,0.166789,0.079431
108,0.166789,0.076879
109,0.166789,0.088928
110,0.166789,0.086893
111,0.166789,0.093413
112,0.166789,0.093544
113,0.166789,0.096256
114,0.166789,0.098258
115,0.166789,0.091566
116,0.166789,0.084969
117,0.166789,0.092647
118,0.166789,0.092401
119,0.166789,0.086176
120,0.166789,0.093729
121,0.166789,0.081276
122,0.166789,0.088734
123,0.166789,0.085027
124,0.166789,0.096421
125,0.166789,0.106063
126,0.166789,0.109187
127,0.166789,0.113442
128,0.166789,0.114039
129,0.166789,0.110526
130,0.166789,0.104212
131,0.166789,0.100719
132,0.166789,0.090042
133,0.166789,0.098122
134,0.166789,0.103015
135,0.166789,0.094198
136,0.166789,0.095250
137,0.166908,0.101005
138,0.166908,0.091530
139,0.166908,0.070040
140,0.166908,0.088895
141,0.166908,0.098262
142,0.166908,0.095876
143,0.166908,0.093642
144,0.166908,0.094132
145,0.167193,0.100945
146,0.167193,0.110605
147,0.167193,0.113103
148,0.167193,0.114518
149,0.167193,0.120404
150,0.167193,0.121451
151,0.167193,0.125004
152,0.167193,0.123947
153,0.167630,0.122175
154,0.167630,0.113549
155,0.167630,0.109073
156,0.167630,0.115452
157,0.167630,0.113215
158,0.167630,0.124124
159,0.167630,0.122275
160,0.167630,0.120237
161,0.167630,0.116216
162,0.167630,0.114192
163,0.167630,0.113590
164,0.167630,0.111219
165,0.167630,0.113668
166,0.168032,0.112278
167,0.168032,0.114391
168,0.168032,0.111488
169,0.168046,0.114060
170,0.168046,0.120891
171,0.168046,0.123245
172,0.168046,0.125294
173,0.168046,0.115578
174,0.168046,0.119518
175,0.168046,0.117003
176,0.168046,0.111458
177,0.168046,0.111687
178,0.168046,0.106914
179,0.168046,0.104656
180,0.168046,0.109159
181,0.168046,0.119004
182,0.168046,0.112761
183,0.168046,0.106186
184,0.168046,0.106944
185,0.168046,0.105769
186,0.168046,0.110104
187,0.168046,0.116225
188,0.168046,0.119178
189,0.168046,0.126035
190,0.168046,0.126301
191,0.168046,0.125409
192,0.168046,0.122577
193,0.168046,0.117737
194,0.168046,0.113768
195,0.168046,0.106497
196,0.168046,0.096582
197,0.168046,0.101729
198,0.168046,0.093976
199,0.168046,0.103347
200,0.168046,0.111638
201,0.168046,0.111932
202,0.168046,0.119084
203,0.168046,0.120233
204,0.168046,0.117821
205,0.168046,0.121932
206,0.168046,0.117938
207,0.168205,0.118617
208,0.168205,0.121214
209,0.168205,0.126456
210,0.168205,0.116268
211,0.168205,0.115381
212,0.168205,0.114177
213,0.168205,0.110787
214,0.168205,0.115291
215,0.168205,0.117216
216,0.168205,0.102075
217,0.168205,0.111404
218,0.168205,0.109028
219,0.168205,0.113018
220,0.168205,0.117127
221,0.168205,0.115562
222,0.168205,0.117257
223,0.168205,0.122029
224,0.168205,0.121968
225,0.168205,0.126369
226,0.168205,0.126473
227,0.168205,0.119818
228,0.168205,0.116670
229,0.168205,0.114467
230,0.168205,0.113046
231,0.168205,0.114672
232,0.168205,0.118105
233,0.168205,0.123428
234,0.168205,0.121994
235,0.168205,0.120926
236,0.168205,0.116365
237,0.168312,0.115984
238,0.168312,0.117218
239,0.168312,0.121733
240,0.168312,0.122672
241,0.168312,0.125391
242,0.168312,0.119389
243,0.168312,0.117277
244,0.168312,0.115165
245,0.168312,0.115769
246,0.168312,0.109629
247,0.168312,0.111033
248,0.168536,0.116789
249,0.168536,0.116427
250,0.168536,0.112896
251,0.168536,0.108263
252,0.168536,0.112227
253,0.168536,0.113860
254,0.168589,0.104510
255,0.168729,0.105286
256,0.168729,0.104099
257,0.168729,0.105828
