geracao,melhor_aptidao,aptidao_media
0,0.158808,0.070553
1,0.158808,0.103592
2,0.158808,0.116686
3,0.158808,0.126233
4,0.160225,0.132528
5,0.160225,0.143142
6,0.161549,0.146167
7,0.161872,0.142269
8,0.163884,0.144988
9,0.163884,0.143564
10,0.165805,0.147322
11,0.165805,0.146895
12,0.166441,0.150038
13,0.166915,0.151515
14,0.167397,0.148393
15,0.167397,0.151445
16,0.167481,0.152364
17,0.167483,0.153807
18,0.167483,0.153348
19,0.167623,0.154003
20,0.167762,0.150583
21,0.167762,0.155802
22,0.167762,0.153614
23,0.168133,0.152647
24,0.168133,0.153476
25,0.168133,0.153960
26,0.168133,0.148940
27,0.168273,0.152304
28,0.168273,0.154243
29,0.168273,0.153752
30,0.168470,0.153184
31,0.168470,0.155252
32,0.168519,0.155338
33,0.168705,0.150920
34,0.168705,0.152790
35,0.168705,0.150382
36,0.168705,0.154060
37,0.168759,0.154819
38,0.168759,0.155269
39,0.168759,0.155300
40,0.169020,0.153897
41,0.169020,0.154571
42,0.169020,0.155150
43,0.169020,0.152610
44,0.169020,0.156588
45,0.169165,0.153835
46,0.169165,0.153531
47,0.169165,0.154194
48,0.169165,0.153605
49,0.169165,0.152929
50,0.169165,0.153762
51,0.169244,0.155707
52,0.169244,0.156859
53,0.169244,0.153684
54,0.169244,0.152302
55,0.169244,0.154333
56,0.169244,0.153705
57,0.169244,0.154232
58,0.169244,0.156556
59,0.169332,0.151778
60,0.169332,0.153499
61,0.169415,0.152154
62,0.169415,0.158022
63,0.169415,0.154117
64,0.169415,0.153840
65,0.169503,0.152864
66,0.169503,0.152641
67,0.169596,0.153403
68,0.169596,0.155964
69,0.169684,0.156466
70,0.169684,0.153615
71,0.169684,0.155014
72,0.169684,0.156795
73,0.169684,0.156187
74,0.169684,0.154929
75,0.169684,0.154004
76,0.169684,0.151936
77,0.169684,0.152264
78,0.169684,0.159141
79,0.169684,0.156414
80,0.169684,0.156081
81,0.169704,0.154011
82,0.169704,0.156553
83,0.169704,0.154652
84,0.169704,0.157090
85,0.169704,0.154356
86,0.169704,0.153627
87,0.169713,0.154443
88,0.169713,0.154233
89,0.169736,0.154370
90,0.169736,0.156166
91,0.169736,0.157880
92,0.169736,0.156192
93,0.169736,0.154528
94,0.169736,0.152534
95,0.169736,0.156065
96,0.169736,0.155691
97,0.169736,0.156115
98,0.169736,0.155110
99,0.169736,0.151510
100,0.169736,0.154437
101,0.169736,0.155967
102,0.169736,0.153674
103,0.169736,0.154329
104,0.169736,0.154084
105,0.169736,0.152553
106,0.169745,0.157324
107,0.169745,0.155224
108,0.169745,0.150946
109,0.169745,0.153623
110,0.169745,0.153077
111,0.169745,0.153363
112,0.169745,0.150317
113,0.169745,0.151775
114,0.169745,0.153995
115,0.169745,0.152341
116,0.169745,0.151648
117,0.169745,0.154961
118,0.169745,0.154225
119,0.169745,0.159016
120,0.169745,0.155474
121,0.169745,0.153674
122,0.169801,0.153971
123,0.169801,0.155096
124,0.169801,0.153782
125,0.169801,0.151641
126,0.169801,0.152921
127,0.169815,0.153765
128,0.169815,0.154731
129,0.169815,0.154293
130,0.169815,0.156664
131,0.169815,0.155572
132,0.169815,0.155860
133,0.169815,0.153020
134,0.169815,0.153199
135,0.169815,0.154449
136,0.169815,0.154557
137,0.169815,0.155289
138,0.169815,0.150517
139,0.169815,0.152322
140,0.169815,0.152913
141,0.169815,0.152649
142,0.169815,0.150596
143,0.169815,0.153257
144,0.169815,0.156475
145,0.169815,0.151813
146,0.169815,0.155146
147,0.169826,0.154395
148,0.169826,0.155502
149,0.169826,0.152704
150,0.169826,0.154380
151,0.169826,0.154711
152,0.169826,0.152395
153,0.169826,0.152835
154,0.169826,0.154795
155,0.169826,0.156176
156,0.169826,0.154959
157,0.169826,0.154832
158,0.169826,0.154443
159,0.169826,0.154165
160,0.169826,0.155773
161,0.169826,0.153584
162,0.169826,0.154628
163,0.169826,0.156376
164,0.169826,0.153554
165,0.169826,0.156539
166,0.169826,0.155691
167,0.169826,0.155753
168,0.169826,0.153599
169,0.169826,0.154584
170,0.169826,0.154813
171,0.169826,0.154683
172,0.169839,0.153896
173,0.169839,0.154468
174,0.169839,0.154591
175,0.169839,0.157908
176,0.169839,0.155328
177,0.169839,0.151126
178,0.169839,0.155234
179,0.169839,0.155857
180,0.169839,0.155541
181,0.169839,0.151696
182,0.169839,0.155404
183,0.169839,0.155831
184,0.169839,0.151892
185,0.169839,0.156586
186,0.169839,0.155190
187,0.169839,0.156799
188,0.169839,0.154324
189,0.169839,0.152830
190,0.169839,0.150224
191,0.169839,0.154659
192,0.169839,0.157445
193,0.169839,0.157144
194,0.169839,0.153414
195,0.169839,0.155207
196,0.169883,0.152183
197,0.169883,0.153370
198,0.169883,0.157946
199,0.169883,0.156727
200,0.169883,0.157117
201,0.169883,0.156528
202,0.169896,0.155250
203,0.169896,0.155559
204,0.169896,0.153564
205,0.169896,0.155172
206,0.169896,0.153527
207,0.169896,0.150490
208,0.169896,0.154388
209,0.169896,0.154923
210,0.169947,0.154356
211,0.169954,0.155963
212,0.169954,0.155245
213,0.169954,0.152780
214,0.169954,0.156003
215,0.169954,0.156231
216,0.169954,0.150982
217,0.169954,0.153742
218,0.169954,0.158537
219,0.169954,0.154150
220,0.169954,0.152251
221,0.169954,0.154614
222,0.169954,0.153079
223,0.169954,0.154385
224,0.169954,0.155262
225,0.169954,0.154109
226,0.169954,0.153428
227,0.169954,0.150152
228,0.169954,0.153005
229,0.169954,0.155651
230,0.169954,0.152669
231,0.169997,0.156100
232,0.169997,0.156199
233,0.169997,0.154784
234,0.169997,0.159229
235,0.169997,0.155083
236,0.169997,0.156422
237,0.169997,0.154454
238,0.169997,0.155254
239,0.169997,0.156947
240,0.169997,0.158769
241,0.169997,0.157151
242,0.169997,0.153999
243,0.169997,0.155939
244,0.169997,0.152201
245,0.169997,0.152811
246,0.169997,0.154735
247,0.169997,0.156800
248,0.169997,0.157307
249,0.169997,0.155966
250,0.169997,0.155467
251,0.169997,0.154868
252,0.169997,0.156127
253,0.169997,0.152829
254,0.169997,0.155994
255,0.169997,0.154010
256,0.169997,0.156627
257,0.169997,0.152982
258,0.169997,0.152247
259,0.169997,0.153539
260,0.169997,0.157391
261,0.169997,0.155559
262,0.169997,0.155595
263,0.169997,0.157688
264,0.169997,0.153108
265,0.169997,0.155097
266,0.169997,0.153666
267,0.169997,0.153816
268,0.169997,0.152367
269,0.169997,0.153769
270,0.169997,0.154881
271,0.169997,0.153650
272,0.169997,0.150806
273,0.169997,0.152100
274,0.169997,0.153853
275,0.169997,0.152429
276,0.169997,0.154609
277,0.169997,0.156013
278,0.169997,0.154848
279,0.169997,0.154210
280,0.169997,0.154662
281,0.169997,0.157010
282,0.169997,0.158135
283,0.169997,0.153734
284,0.169997,0.158133
285,0.169997,0.152008
286,0.169997,0.152737
287,0.169997,0.153352
288,0.169997,0.154015
289,0.169997,0.151532
290,0.169997,0.151117
291,0.169997,0.154749
292,0.170005,0.157224
293,0.170005,0.156335
294,0.170005,0.157375
295,0.170005,0.154853
296,0.170005,0.153245
297,0.170005,0.153127
298,0.170005,0.153575
299,0.170005,0.155517
300,0.170005,0.157079
301,0.170005,0.153816
302,0.170005,0.155598
303,0.170005,0.155034
304,0.170005,0.153915
305,0.170005,0.154735
306,0.170005,0.155505
307,0.170005,0.154193
308,0.170005,0.154895
309,0.170005,0.150499
310,0.170005,0.156556
311,0.170005,0.154499
312,0.170005,0.149540
313,0.170005,0.159132
314,0.170005,0.156980
315,0.170005,0.153085
316,0.170005,0.154838
317,0.170005,0.152913
318,0.170005,0.154883
319,0.170005,0.154613
320,0.170068,0.155964
321,0.170068,0.152108
322,0.170068,0.153412
323,0.170068,0.155671
324,0.170068,0.155364
325,0.170068,0.155033
326,0.170068,0.155921
327,0.170068,0.154275
328,0.170068,0.154594
329,0.170068,0.154230
330,0.170068,0.153622
331,0.170068,0.153865
332,0.170068,0.153677
333,0.170068,0.154525
334,0.170068,0.156969
335,0.170068,0.157644
336,0.170068,0.153324
337,0.170068,0.156008
338,0.170068,0.152739
339,0.170068,0.156207
340,0.170068,0.155448
341,0.170068,0.155183
342,0.170096,0.154117
343,0.170096,0.151132
344,0.170096,0.155737
345,0.170096,0.155374
346,0.170096,0.155579
347,0.170096,0.154694
348,0.170096,0.156822
349,0.170096,0.152342
350,0.170096,0.154723
351,0.170096,0.156502
352,0.170096,0.156866
353,0.170096,0.158381
354,0.170096,0.155397
355,0.170096,0.156873
356,0.170096,0.157256
357,0.170096,0.154642
358,0.170096,0.155501
359,0.170096,0.156150
360,0.170096,0.156732
361,0.170096,0.153136
362,0.170096,0.150788
363,0.170096,0.156559
364,0.170096,0.154673
365,0.170096,0.155208
366,0.170096,0.153787
367,0.170096,0.152452
368,0.170096,0.153992
369,0.170096,0.157265
370,0.170096,0.154759
371,0.170096,0.155158
372,0.170096,0.154357
373,0.170096,0.153377
374,0.170096,0.153990
375,0.170096,0.155416
376,0.170096,0.156465
377,0.170096,0.158455
378,0.170096,0.153457
379,0.170096,0.154150
380,0.170096,0.156234
381,0.170096,0.156629
382,0.170096,0.154328
383,0.170096,0.153854
384,0.170096,0.155131
385,0.170096,0.156748
386,0.170096,0.155132
387,0.170096,0.153343
388,0.170096,0.154967
389,0.170096,0.156014
390,0.170096,0.156510
391,0.170096,0.153943
392,0.170096,0.156353
393,0.170096,0.156058
394,0.170096,0.151352
395,0.170096,0.154952
396,0.170096,0.153002
397,0.170096,0.153731
398,0.170096,0.155176
