geracao,melhor_aptidao,aptidao_media
0,0.153692,0.080560
1,0.155468,0.099897
2,0.157122,0.126575
3,0.158970,0.132624
4,0.162300,0.133514
5,0.162300,0.138548
6,0.165248,0.138860
7,0.165248,0.141425
8,0.165248,0.144447
9,0.165506,0.148981
10,0.165506,0.150393
11,0.165679,0.146693
12,0.166596,0.150280
13,0.167253,0.148125
14,0.167253,0.150757
15,0.167253,0.152354
16,0.167497,0.149442
17,0.167792,0.152910
18,0.167792,0.152566
19,0.167792,0.153102
20,0.167933,0.152962
21,0.168109,0.155281
22,0.168109,0.156806
23,0.168109,0.154719
24,0.168250,0.153760
25,0.168375,0.152218
26,0.168492,0.155548
27,0.168565,0.154557
28,0.168617,0.154694
29,0.168690,0.153202
30,0.168690,0.156980
31,0.168883,0.156314
32,0.169058,0.154335
33,0.169058,0.156029
34,0.169058,0.154104
35,0.169058,0.158426
36,0.169058,0.155163
37,0.169058,0.153794
38,0.169058,0.157072
39,0.169058,0.154220
40,0.169058,0.156573
41,0.169058,0.156485
42,0.169058,0.157115
43,0.169058,0.156834
44,0.169298,0.155083
45,0.169298,0.154467
46,0.169298,0.155015
47,0.169368,0.154333
48,0.169368,0.156447
49,0.169368,0.152485
50,0.169368,0.154835
51,0.169368,0.152456
52,0.169368,0.154339
53,0.169369,0.156591
54,0.169438,0.157027
55,0.169438,0.154022
56,0.169438,0.157480
57,0.169450,0.157813
58,0.169481,0.154015
59,0.169481,0.157821
60,0.169481,0.156215
61,0.169482,0.154691
62,0.169492,0.153070
63,0.169512,0.153347
64,0.169524,0.155060
65,0.169524,0.153105
66,0.169620,0.154626
67,0.169620,0.153956
68,0.169620,0.157212
69,0.169620,0.155246
70,0.169620,0.153801
71,0.169620,0.155236
72,0.169620,0.153986
73,0.169620,0.151711
74,0.169620,0.158418
75,0.169620,0.155802
76,0.169620,0.157017
77,0.169620,0.153795
78,0.169620,0.156265
79,0.169620,0.154677
80,0.169620,0.157464
81,0.169620,0.158216
82,0.169620,0.156189
83,0.169620,0.156212
84,0.169620,0.156045
85,0.169720,0.154237
86,0.169720,0.153612
87,0.169720,0.155696
88,0.169720,0.159042
89,0.169720,0.155417
90,0.169720,0.154895
91,0.169720,0.160432
92,0.169720,0.155667
93,0.169720,0.160553
94,0.169720,0.155569
95,0.169720,0.153380
96,0.169720,0.153533
97,0.169720,0.155022
98,0.169720,0.154797
99,0.169720,0.156480
100,0.169720,0.154501
101,0.169720,0.155301
102,0.169720,0.156990
103,0.169733,0.158091
104,0.169733,0.155462
105,0.169733,0.157516
106,0.169733,0.155926
107,0.169733,0.156689
108,0.169733,0.157124
109,0.169823,0.156079
110,0.169823,0.155320
111,0.169823,0.155353
112,0.169823,0.153556
113,0.169823,0.153231
114,0.169823,0.153415
115,0.169901,0.153954
116,0.169901,0.153516
117,0.169901,0.155728
118,0.169901,0.157455
119,0.169901,0.157099
120,0.169901,0.158481
121,0.169901,0.156737
122,0.169901,0.158383
123,0.169901,0.156316
124,0.169910,0.155815
125,0.169910,0.156627
126,0.169910,0.157769
127,0.169910,0.155451
128,0.169910,0.155811
129,0.169929,0.154898
130,0.169929,0.155304
