geracao,melhor_aptidao,aptidao_media
0,0.152190,0.074477
1,0.153286,0.118243
2,0.156726,0.123829
3,0.156726,0.132090
4,0.157717,0.133772
5,0.158214,0.136882
6,0.159735,0.143363
7,0.160143,0.143443
8,0.160262,0.142356
9,0.162305,0.147545
10,0.162305,0.147648
11,0.165383,0.146948
12,0.165383,0.147209
13,0.165383,0.149221
14,0.165383,0.148623
15,0.166005,0.151158
16,0.166005,0.150225
17,0.166333,0.151791
18,0.166802,0.152161
19,0.168166,0.149277
20,0.168166,0.154609
21,0.168166,0.153462
22,0.168166,0.151953
23,0.168284,0.153968
24,0.168428,0.155960
25,0.168428,0.153725
26,0.168428,0.154861
27,0.168691,0.156166
28,0.168691,0.154883
29,0.168691,0.155320
30,0.168691,0.157591
31,0.168691,0.153141
32,0.168691,0.152967
33,0.168927,0.157302
34,0.168927,0.156213
35,0.168927,0.155276
36,0.168927,0.155369
37,0.168927,0.156642
38,0.169016,0.156149
39,0.169016,0.157463
40,0.169016,0.157787
41,0.169016,0.156200
42,0.169118,0.154489
43,0.169118,0.152675
44,0.169118,0.153641
45,0.169118,0.153875
46,0.169118,0.153485
47,0.169118,0.154947
48,0.169133,0.155284
49,0.169133,0.159136
50,0.169133,0.155819
51,0.169133,0.154659
52,0.169133,0.153142
53,0.169133,0.155294
54,0.169133,0.156297
55,0.169133,0.158710
56,0.169341,0.154797
57,0.169341,0.155101
58,0.169341,0.154773
59,0.169341,0.155674
60,0.169341,0.157329
61,0.169341,0.155714
62,0.169341,0.152609
63,0.169341,0.155344
64,0.169341,0.156564
65,0.169341,0.152082
66,0.169341,0.155597
67,0.169341,0.153692
68,0.169341,0.158167
69,0.169341,0.155884
70,0.169341,0.154900
71,0.169341,0.156065
72,0.169341,0.157616
73,0.169341,0.153386
74,0.169341,0.155485
75,0.169341,0.155384
76,0.169341,0.156481
77,0.169341,0.156130
78,0.169341,0.156027
79,0.169345,0.155417
80,0.169345,0.154311
81,0.169345,0.155613
82,0.169345,0.155466
83,0.169345,0.153075
84,0.169345,0.155585
85,0.169350,0.155253
86,0.169350,0.157157
87,0.169350,0.155583
88,0.169350,0.152558
89,0.169351,0.153866
90,0.169351,0.151801
91,0.169351,0.155599
92,0.169351,0.154633
93,0.169351,0.156340
94,0.169351,0.154958
95,0.169351,0.156129
96,0.169351,0.154255
97,0.169351,0.156080
98,0.169351,0.155312
99,0.169351,0.155129
100,0.169351,0.154205
101,0.169351,0.155328
102,0.169351,0.156633
103,0.169351,0.154029
104,0.169351,0.157381
105,0.169351,0.152530
106,0.169351,0.155146
107,0.169351,0.154940
108,0.169351,0.155064
109,0.169351,0.151655
110,0.169351,0.155527
111,0.169501,0.157467
112,0.169501,0.156707
113,0.169501,0.153967
114,0.169501,0.154426
115,0.169501,0.155204
116,0.169501,0.154844
117,0.169501,0.156110
118,0.169501,0.155551
119,0.169501,0.156391
120,0.169501,0.156443
121,0.169511,0.156886
122,0.169596,0.157057
123,0.169596,0.155893
124,0.169596,0.156193
125,0.169596,0.154498
126,0.169596,0.155415
127,0.169596,0.155231
128,0.169596,0.155564
129,0.169596,0.156486
130,0.169596,0.155738
131,0.169596,0.156070
132,0.169596,0.158445
133,0.169596,0.157474
134,0.169596,0.154170
135,0.169596,0.155165
136,0.169704,0.155267
137,0.169704,0.154946
138,0.169704,0.155987
139,0.169704,0.156359
140,0.169704,0.158098
141,0.169730,0.155594
142,0.169730,0.155671
143,0.169730,0.154369
144,0.169730,0.155948
145,0.169730,0.157810
146,0.169730,0.154119
147,0.169730,0.158444
148,0.169730,0.156730
149,0.169730,0.158055
150,0.169730,0.156685
151,0.169860,0.157678
152,0.169860,0.153267
153,0.169860,0.156560
154,0.169860,0.154430
155,0.169860,0.155869
156,0.169860,0.150431
157,0.169860,0.156312
158,0.169860,0.156622
159,0.169860,0.154229
160,0.169860,0.153798
161,0.169860,0.156314
162,0.169860,0.153251
163,0.169860,0.155789
164,0.169860,0.156460
165,0.169860,0.157155
166,0.169860,0.153536
167,0.169860,0.153055
168,0.169860,0.157982
169,0.169860,0.155722
170,0.169860,0.156065
171,0.169860,0.154324
172,0.169860,0.152978
173,0.169860,0.152459
174,0.169966,0.152834
175,0.169966,0.152253
176,0.169966,0.154761
177,0.169966,0.157830
178,0.169966,0.155117
179,0.169966,0.158083
180,0.169966,0.152345
181,0.169966,0.159265
182,0.169966,0.158830
183,0.169966,0.154391
184,0.169966,0.152965
185,0.169966,0.156676
186,0.169966,0.156904
187,0.169966,0.156499
188,0.169966,0.152356
189,0.169966,0.156566
190,0.169966,0.155576
191,0.169966,0.155511
192,0.169966,0.155493
193,0.169966,0.155936
194,0.169966,0.157268
195,0.169966,0.155861
196,0.169966,0.157470
197,0.169966,0.155753
198,0.169966,0.154089
199,0.169966,0.155138
200,0.169966,0.154354
201,0.169966,0.156533
202,0.169966,0.152673
203,0.169966,0.154011
204,0.169966,0.156500
205,0.169966,0.154150
206,0.169966,0.152532
207,0.169966,0.153828
208,0.169966,0.156503
209,0.169966,0.155843
210,0.170006,0.156730
211,0.170006,0.155729
212,0.170006,0.157713
213,0.170028,0.155195
214,0.170028,0.154584
215,0.170028,0.156688
216,0.170028,0.154655
217,0.170028,0.155868
218,0.170028,0.152375
219,0.170028,0.154019
220,0.170028,0.155468
221,0.170028,0.154167
222,0.170028,0.155256
223,0.170028,0.152340
224,0.170028,0.153546
225,0.170028,0.157083
226,0.170028,0.154974
227,0.170028,0.157161
228,0.170028,0.156795
229,0.170050,0.156723
230,0.170050,0.155177
231,0.170050,0.154818
232,0.170064,0.155019
233,0.170064,0.153764
234,0.170064,0.155288
235,0.170064,0.154790
236,0.170064,0.154337
237,0.170064,0.157209
238,0.170064,0.155998
239,0.170064,0.158569
240,0.170064,0.155590
241,0.170080,0.152346
242,0.170080,0.159776
243,0.170080,0.157872
244,0.170080,0.153601
245,0.170080,0.157846
246,0.170080,0.153273
247,0.170080,0.155694
248,0.170080,0.156500
249,0.170080,0.154845
250,0.170080,0.154616
251,0.170080,0.152997
252,0.170080,0.155816
253,0.170080,0.155433
254,0.170080,0.153074
255,0.170080,0.151606
256,0.170108,0.155845
257,0.170108,0.154718
258,0.170108,0.157511
259,0.170108,0.156738
260,0.170110,0.154986
261,0.170110,0.156505
262,0.170110,0.156807
263,0.170110,0.155474
264,0.170110,0.158011
265,0.170110,0.157813
266,0.170110,0.154389
267,0.170119,0.154622
268,0.170119,0.159448
269,0.170119,0.153925
270,0.170119,0.157157
271,0.170119,0.156331
272,0.170136,0.155864
273,0.170136,0.154767
274,0.170136,0.159983
275,0.170136,0.156662
276,0.170136,0.156798
