geracao,melhor_aptidao,aptidao_media
0,0.149651,0.088925
1,0.149651,0.106083
2,0.151943,0.117409
3,0.156279,0.127890
4,0.156279,0.133370
5,0.157553,0.138145
6,0.159546,0.140561
7,0.160529,0.141665
8,0.160529,0.142574
9,0.162004,0.145338
10,0.162004,0.146627
11,0.163276,0.149751
12,0.163276,0.150267
13,0.163567,0.149888
14,0.164157,0.149834
15,0.164252,0.152959
16,0.164252,0.149306
17,0.164252,0.146724
18,0.164720,0.150413
19,0.164720,0.148817
20,0.164720,0.149640
21,0.164836,0.151376
22,0.164836,0.151853
23,0.165502,0.151690
24,0.165600,0.150102
25,0.165600,0.152117
26,0.165600,0.151542
27,0.165600,0.151113
28,0.165600,0.153601
29,0.165685,0.152441
30,0.165686,0.150723
31,0.165818,0.152149
32,0.165818,0.155364
33,0.166329,0.150769
34,0.166329,0.150443
35,0.166329,0.152889
36,0.166329,0.150660
37,0.166329,0.150166
38,0.166329,0.147711
39,0.166371,0.152794
40,0.166371,0.152691
41,0.166371,0.145020
42,0.166371,0.152976
43,0.166371,0.153765
44,0.166371,0.151437
45,0.166371,0.151533
46,0.166371,0.152116
47,0.166371,0.151171
48,0.166371,0.150964
49,0.166371,0.153100
50,0.166371,0.152726
51,0.166371,0.152348
52,0.166418,0.153197
53,0.167235,0.151613
54,0.168384,0.149923
55,0.168384,0.149385
56,0.168384,0.153649
57,0.168384,0.151935
58,0.168489,0.151103
59,0.168489,0.153269
60,0.168489,0.150285
61,0.168652,0.153942
62,0.168652,0.156125
63,0.168652,0.154866
64,0.168653,0.152357
65,0.168653,0.153245
66,0.168700,0.154884
67,0.168700,0.153340
68,0.168703,0.153760
69,0.168703,0.156624
70,0.168704,0.153154
71,0.168704,0.152419
72,0.168737,0.150854
73,0.168737,0.152558
74,0.168737,0.154985
75,0.168737,0.152480
76,0.168737,0.150636
77,0.168737,0.156022
78,0.168737,0.154863
79,0.168737,0.154642
80,0.168826,0.154847
81,0.168826,0.153907
82,0.168826,0.153871
83,0.168826,0.153382
84,0.168826,0.158373
85,0.168826,0.155360
86,0.168826,0.155739
87,0.168826,0.157627
88,0.168826,0.156180
89,0.168826,0.155118
90,0.168826,0.155771
91,0.168826,0.157846
92,0.168826,0.156075
93,0.168826,0.154580
94,0.168826,0.154897
