geracao,melhor_aptidao,aptidao_media
0,0.138706,0.009602
1,0.138706,0.025308
2,0.138706,0.042142
3,0.143045,0.052713
4,0.143045,0.053147
5,0.147480,0.056891
6,0.147480,0.064263
7,0.148810,0.078110
8,0.148810,0.076523
9,0.148810,0.068912
10,0.149282,0.085661
11,0.149282,0.088173
12,0.149282,0.086392
13,0.152906,0.086609
14,0.152906,0.093845
15,0.152906,0.083982
16,0.152906,0.088337
17,0.154618,0.077351
18,0.154618,0.090423
19,0.154618,0.078060
20,0.154618,0.081848
21,0.154618,0.083961
22,0.154618,0.073257
23,0.157046,0.080580
24,0.157046,0.075581
25,0.157163,0.079334
26,0.157163,0.093453
27,0.157163,0.072227
28,0.157163,0.078406
29,0.159048,0.077440
30,0.159048,0.077587
31,0.159048,0.083270
32,0.159048,0.084357
33,0.159048,0.094996
34,0.159555,0.097842
35,0.160435,0.097840
36,0.160435,0.084819
37,0.160435,0.096913
38,0.162202,0.096688
39,0.162202,0.088282
40,0.162202,0.080444
41,0.162202,0.091394
42,0.162202,0.096537
43,0.162202,0.095731
44,0.162529,0.084229
45,0.162529,0.088541
46,0.162529,0.096801
47,0.162529,0.103384
48,0.163654,0.100045
49,0.163654,0.097135
50,0.163654,0.103805
51,0.163654,0.100149
52,0.163654,0.098635
53,0.163654,0.102757
54,0.163654,0.106313
55,0.163654,0.093850
56,0.163917,0.095172
57,0.163917,0.106870
58,0.164560,0.113355
59,0.164560,0.102002
60,0.164560,0.098975
61,0.164560,0.101743
62,0.164560,0.099685
63,0.164560,0.098962
64,0.164560,0.101628
65,0.164560,0.107880
66,0.164560,0.097676
67,0.164560,0.098708
68,0.164560,0.108651
69,0.164560,0.101102
70,0.164560,0.112145
71,0.164560,0.113734
72,0.164560,0.104289
73,0.165271,0.095675
74,0.165532,0.094149
75,0.165532,0.088015
76,0.165532,0.088966
77,0.165532,0.105506
78,0.165532,0.103144
79,0.165532,0.104615
80,0.165532,0.107383
81,0.165532,0.111979
82,0.165532,0.110837
83,0.165532,0.112252
84,0.165532,0.115528
85,0.165532,0.106774
86,0.165532,0.102459
87,0.165532,0.119384
88,0.165532,0.112211
89,0.165532,0.117075
90,0.165532,0.093658
91,0.165532,0.117600
92,0.165532,0.115191
93,0.165532,0.118653
94,0.166131,0.116263
95,0.166131,0.115610
96,0.166131,0.115046
97,0.166131,0.111173
98,0.166131,0.110899
99,0.166131,0.105083
100,0.166131,0.103785
101,0.166131,0.095768
102,0.166131,0.103428
103,0.166131,0.103810
104,0.166131,0.104540
105,0.166131,0.097530
106,0.166131,0.102215
107,0.166131,0.100647
108,0.166131,0.099644
109,0.166131,0.102436
110,0.166730,0.105161
111,0.166730,0.107268
112,0.166730,0.100577
113,0.166730,0.102152
114,0.166730,0.095207
115,0.166730,0.087244
116,0.166755,0.094668
117,0.166755,0.108517
118,0.166755,0.105923
119,0.166755,0.107601
120,0.166755,0.103223
121,0.166755,0.115063
122,0.166755,0.113670
123,0.166755,0.115094
124,0.166755,0.118185
125,0.166755,0.117856
126,0.166755,0.115752
127,0.166755,0.115776
128,0.166755,0.119013
129,0.166755,0.113235
130,0.166755,0.117817
131,0.166785,0.119530
132,0.166805,0.112986
133,0.166805,0.109771
134,0.166805,0.116928
135,0.166805,0.117338
136,0.166805,0.111851
137,0.166805,0.101255
138,0.166810,0.105480
139,0.166810,0.099413
140,0.166810,0.108432
141,0.166810,0.102927
142,0.166810,0.109779
143,0.166810,0.106211
144,0.166810,0.105581
145,0.166810,0.102125
146,0.166810,0.111249
147,0.167271,0.115300
148,0.167271,0.102255
149,0.167271,0.113606
150,0.167271,0.121481
151,0.167308,0.104431
152,0.167308,0.112449
153,0.167308,0.107380
154,0.167308,0.106523
155,0.167308,0.098042
156,0.167308,0.097755
157,0.167308,0.103126
158,0.167308,0.109081
159,0.167308,0.113251
160,0.167308,0.112935
161,0.167308,0.114136
162,0.167308,0.109750
163,0.167308,0.111888
164,0.167308,0.112542
165,0.167308,0.115848
166,0.167308,0.110719
167,0.167308,0.111254
168,0.167308,0.119022
169,0.167308,0.118448
170,0.167308,0.112386
171,0.167308,0.111069
172,0.167308,0.114622
173,0.167308,0.120681
174,0.167308,0.113869
175,0.167308,0.110892
176,0.167308,0.115049
177,0.167308,0.112446
178,0.167308,0.105567
179,0.167308,0.105757
180,0.167308,0.100595
181,0.167308,0.106073
182,0.167308,0.116138
183,0.167308,0.119829
184,0.167308,0.126149
185,0.167308,0.123543
