geracao,melhor_aptidao,aptidao_media
0,0.139494,0.060953
1,0.145111,0.102691
2,0.148282,0.117281
3,0.150251,0.121280
4,0.160864,0.122083
5,0.160864,0.123800
6,0.160864,0.134209
7,0.164109,0.136838
8,0.164109,0.142575
9,0.164159,0.143671
10,0.164819,0.147345
11,0.164819,0.147498
12,0.164872,0.150537
13,0.164980,0.147549
14,0.165257,0.149707
15,0.165257,0.153314
16,0.165257,0.152104
17,0.165257,0.150084
18,0.166196,0.151443
19,0.166196,0.150242
20,0.166196,0.153284
21,0.166245,0.155147
22,0.166245,0.152087
23,0.166473,0.154036
24,0.166473,0.154496
25,0.166473,0.153503
26,0.166473,0.152256
27,0.166632,0.149121
28,0.166632,0.152784
29,0.166678,0.154429
30,0.166714,0.156454
31,0.166926,0.155179
32,0.166926,0.153519
33,0.166926,0.154414
34,0.166926,0.151837
35,0.166926,0.152311
36,0.167053,0.158187
37,0.167053,0.151780
38,0.167053,0.153308
39,0.167088,0.154704
40,0.167153,0.155826
41,0.167330,0.156735
42,0.167397,0.154258
43,0.167397,0.153857
44,0.167492,0.151601
45,0.167721,0.155539
46,0.167721,0.154997
47,0.167721,0.155533
48,0.167898,0.154016
49,0.167898,0.152844
50,0.167898,0.153761
51,0.167898,0.151385
52,0.168262,0.155575
53,0.168262,0.154311
54,0.168262,0.153533
55,0.168501,0.155646
56,0.168501,0.150694
57,0.168501,0.154469
58,0.168559,0.155059
59,0.168559,0.155378
60,0.168638,0.155305
61,0.168638,0.157441
62,0.168638,0.154568
63,0.168638,0.151174
64,0.168638,0.150785
65,0.168638,0.154715
66,0.168642,0.153322
67,0.168642,0.154896
68,0.168642,0.154207
69,0.168642,0.155668
70,0.168642,0.156280
71,0.168719,0.152410
72,0.168719,0.153151
73,0.168719,0.154956
74,0.168719,0.152803
75,0.168719,0.153210
76,0.168719,0.154725
77,0.168719,0.158605
78,0.168794,0.156181
79,0.168794,0.155974
80,0.168801,0.154088
81,0.168801,0.153275
82,0.168801,0.154914
83,0.168801,0.153664
84,0.168801,0.154429
85,0.168801,0.155098
86,0.168801,0.155839
87,0.168801,0.154167
88,0.168858,0.155215
89,0.168858,0.153188
