geracao,melhor_aptidao,aptidao_media
0,0.151544,0.086168
1,0.151544,0.106460
2,0.161715,0.113467
3,0.161715,0.132643
4,0.161715,0.134593
5,0.162238,0.137203
6,0.163538,0.139120
7,0.163538,0.142700
8,0.164828,0.148952
9,0.164871,0.149951
10,0.165144,0.151216
11,0.165144,0.152153
12,0.165517,0.152772
13,0.166027,0.153852
14,0.166735,0.154646
15,0.166735,0.151698
16,0.167245,0.155045
17,0.167245,0.153139
18,0.167433,0.150633
19,0.167433,0.151243
20,0.167433,0.151334
21,0.167443,0.152168
22,0.167631,0.155192
23,0.167631,0.153583
24,0.167903,0.155411
25,0.167903,0.152410
26,0.167925,0.155113
27,0.168091,0.155111
28,0.168385,0.155300
29,0.168385,0.154414
30,0.168385,0.154053
31,0.168425,0.157073
32,0.168425,0.154378
33,0.168425,0.155832
34,0.168425,0.156362
35,0.168451,0.153178
36,0.168451,0.153900
37,0.168525,0.153111
38,0.168525,0.157082
39,0.168620,0.156473
40,0.168620,0.156655
41,0.168620,0.153442
42,0.168791,0.154208
43,0.168791,0.155904
44,0.168791,0.155987
45,0.168791,0.154902
46,0.168791,0.156395
47,0.168791,0.154414
48,0.168791,0.152531
49,0.168791,0.155207
50,0.168791,0.154694
51,0.168791,0.155510
52,0.168791,0.157205
53,0.168791,0.155229
54,0.168791,0.155063
55,0.168791,0.154527
56,0.168791,0.155197
57,0.168791,0.157051
58,0.168791,0.156804
59,0.168791,0.157109
60,0.168795,0.154437
61,0.168795,0.156448
62,0.168795,0.155870
63,0.168795,0.155569
64,0.168795,0.153952
65,0.168795,0.154361
66,0.168795,0.157991
67,0.168795,0.156905
68,0.168804,0.154471
69,0.168804,0.156243
70,0.168804,0.155952
71,0.168804,0.154564
72,0.168808,0.153253
73,0.168808,0.155290
74,0.168843,0.154053
75,0.168868,0.153053
76,0.168868,0.151105
77,0.168868,0.157667
78,0.168868,0.154846
79,0.168904,0.149578
80,0.168904,0.150271
81,0.168904,0.153712
82,0.168904,0.157496
83,0.168904,0.157745
84,0.168923,0.158450
85,0.168923,0.155464
86,0.168923,0.156446
87,0.168923,0.157379
88,0.168923,0.157477
89,0.168923,0.158342
90,0.168923,0.156341
91,0.168923,0.155808
92,0.168923,0.156469
93,0.168923,0.156931
94,0.168923,0.159438
95,0.168923,0.157478
96,0.168923,0.154775
97,0.168923,0.152387
98,0.168935,0.154317
99,0.168935,0.155072
100,0.168935,0.155022
101,0.168935,0.158400
102,0.168935,0.156431
103,0.168935,0.156530
104,0.168935,0.158632
105,0.168935,0.155286
106,0.168935,0.155871
107,0.168954,0.153937
108,0.168954,0.154027
109,0.168954,0.157479
110,0.168954,0.155261
111,0.168954,0.154919
112,0.168954,0.152748
113,0.168967,0.152914
114,0.168967,0.156042
115,0.168967,0.154019
116,0.168967,0.155544
117,0.168967,0.155888
118,0.168967,0.159436
119,0.168967,0.159218
120,0.168967,0.155340
121,0.169019,0.155731
122,0.169019,0.158214
123,0.169019,0.152861
124,0.169019,0.154380
125,0.169019,0.154459
126,0.169019,0.157089
127,0.169019,0.157621
128,0.169019,0.154820
129,0.169019,0.157855
130,0.169019,0.156611
131,0.169019,0.154426
132,0.169019,0.153900
133,0.169019,0.154476
134,0.169019,0.153172
135,0.169019,0.152195
136,0.169019,0.157296
137,0.169019,0.158083
138,0.169019,0.155786
139,0.169019,0.154317
140,0.169019,0.156092
141,0.169019,0.156942
142,0.169019,0.154116
143,0.169019,0.154706
144,0.169019,0.157052
145,0.169019,0.155044
146,0.169019,0.156048
147,0.169019,0.156126
148,0.169019,0.154098
149,0.169019,0.154567
150,0.169019,0.154361
151,0.169019,0.157007
152,0.169271,0.152997
153,0.169271,0.155381
154,0.169271,0.155421
155,0.169271,0.153955
156,0.169271,0.157097
157,0.169271,0.158153
158,0.169271,0.156369
159,0.169271,0.156751
160,0.169271,0.154172
161,0.169271,0.155291
162,0.169271,0.153109
163,0.169271,0.150464
164,0.169271,0.155459
165,0.169271,0.157119
166,0.169271,0.155826
167,0.169271,0.157142
168,0.169271,0.155395
169,0.169271,0.155685
170,0.169271,0.158572
171,0.169271,0.156087
172,0.169271,0.154796
173,0.169271,0.154102
174,0.169271,0.153010
175,0.169271,0.154433
176,0.169271,0.153051
177,0.169271,0.157619
178,0.169271,0.157015
179,0.169271,0.154931
180,0.169273,0.155794
181,0.169273,0.156093
182,0.169273,0.158511
183,0.169273,0.158139
184,0.169273,0.155325
185,0.169273,0.155814
186,0.169273,0.155974
187,0.169273,0.156491
188,0.169273,0.157998
189,0.169273,0.158363
190,0.169273,0.156850
191,0.169273,0.155755
192,0.169273,0.155498
193,0.169273,0.154933
194,0.169273,0.155768
195,0.169273,0.158324
196,0.169273,0.157704
197,0.169273,0.157195
198,0.169273,0.155254
199,0.169294,0.155088
200,0.169294,0.155277
201,0.169294,0.158448
202,0.169294,0.156246
203,0.169294,0.155414
204,0.169294,0.154169
205,0.169294,0.156562
206,0.169294,0.154363
207,0.169294,0.156187
208,0.169294,0.155994
209,0.169294,0.156322
210,0.169294,0.158406
211,0.169294,0.153209
212,0.169294,0.149394
213,0.169294,0.153859
214,0.169294,0.154491
215,0.169294,0.155015
216,0.169294,0.157942
217,0.169294,0.157081
218,0.169294,0.154582
219,0.169294,0.155577
220,0.169294,0.156365
221,0.169294,0.153327
222,0.169294,0.157278
223,0.169294,0.156786
224,0.169294,0.151964
225,0.169294,0.157446
226,0.169294,0.155538
227,0.169294,0.156470
228,0.169364,0.154975
229,0.169364,0.154591
230,0.169364,0.156018
231,0.169364,0.156911
232,0.169464,0.152183
233,0.169464,0.154620
234,0.169464,0.157796
235,0.169464,0.155489
236,0.169464,0.155496
237,0.169948,0.153616
238,0.169948,0.156755
239,0.169948,0.154066
240,0.169948,0.156169
241,0.169948,0.158510
242,0.169948,0.156118
243,0.169948,0.155835
244,0.169948,0.156572
245,0.169948,0.154760
246,0.169948,0.156945
247,0.169948,0.157384
248,0.169948,0.157617
249,0.169948,0.156450
250,0.169948,0.156947
251,0.169948,0.158033
252,0.169948,0.158885
