geracao,melhor_aptidao,aptidao_media
0,0.134243,0.082164
1,0.143710,0.096265
2,0.154461,0.115151
3,0.155020,0.125813
4,0.158928,0.130265
5,0.161179,0.135381
6,0.161367,0.139719
7,0.161556,0.141968
8,0.165931,0.144885
9,0.165931,0.144040
10,0.165931,0.146677
11,0.165931,0.145834
12,0.166519,0.146979
13,0.166832,0.149209
14,0.166832,0.145880
15,0.167289,0.151218
16,0.167289,0.152782
17,0.167289,0.152250
18,0.168022,0.152193
19,0.168022,0.151906
20,0.168022,0.154075
21,0.168563,0.156033
22,0.168563,0.152989
23,0.168563,0.153343
24,0.168782,0.158629
25,0.168782,0.150679
26,0.168782,0.153633
27,0.168782,0.156043
28,0.168952,0.156763
29,0.168952,0.155463
30,0.168952,0.153806
31,0.168972,0.152140
32,0.169097,0.155027
33,0.169097,0.156939
34,0.169097,0.157152
35,0.169097,0.154634
36,0.169204,0.155379
37,0.169252,0.156457
38,0.169252,0.153966
39,0.169252,0.154270
40,0.169364,0.153349
41,0.169471,0.155391
42,0.169471,0.155366
43,0.169471,0.157387
44,0.169471,0.153870
45,0.169471,0.153018
46,0.169471,0.155242
47,0.169471,0.156143
48,0.169471,0.154492
49,0.169471,0.155079
50,0.169471,0.155745
51,0.169471,0.155644
52,0.169471,0.154951
53,0.169471,0.158055
54,0.169472,0.153988
55,0.169472,0.154059
56,0.169472,0.151132
57,0.169488,0.156607
58,0.169488,0.157277
59,0.169488,0.156728
60,0.169488,0.153768
61,0.169488,0.156838
62,0.169488,0.155697
63,0.169488,0.153198
64,0.169488,0.155989
65,0.169533,0.156991
66,0.169533,0.154723
67,0.169533,0.157736
68,0.169533,0.159074
69,0.169534,0.153502
70,0.169534,0.154042
71,0.169534,0.155089
72,0.169534,0.155458
73,0.169534,0.153332
74,0.169534,0.156311
75,0.169544,0.156285
76,0.169544,0.155469
77,0.169544,0.154309
78,0.169544,0.159172
79,0.169544,0.157934
80,0.169544,0.154255
81,0.169544,0.153965
82,0.169544,0.157825
83,0.169544,0.153015
84,0.169561,0.155235
85,0.169561,0.156544
