geracao,melhor_aptidao,aptidao_media
0,0.133723,0.002487
1,0.147092,-0.008868
2,0.147092,0.041781
3,0.147092,0.052324
4,0.149021,0.071873
5,0.149021,0.077798
6,0.156540,0.065151
7,0.156540,0.064531
8,0.156540,0.074306
9,0.156540,0.059076
10,0.156540,0.064146
11,0.156540,0.057768
12,0.156540,0.063276
13,0.156540,0.085058
14,0.159032,0.093353
15,0.159032,0.094612
16,0.159032,0.098070
17,0.159032,0.098066
18,0.159769,0.086616
19,0.159769,0.096393
20,0.159843,0.092208
21,0.159843,0.099853
22,0.160259,0.111016
23,0.160259,0.102921
24,0.160892,0.112776
25,0.160892,0.111512
26,0.160892,0.100972
27,0.160892,0.109137
28,0.160892,0.104455
29,0.160892,0.101444
30,0.160892,0.092623
31,0.160892,0.074463
32,0.161721,0.079293
33,0.161721,0.090870
34,0.161721,0.091905
35,0.161721,0.102537
36,0.161721,0.095849
37,0.161721,0.097982
38,0.161721,0.092427
39,0.161721,0.087996
40,0.162505,0.095530
41,0.162505,0.097728
42,0.162505,0.099688
43,0.162505,0.095273
44,0.162505,0.097536
45,0.162505,0.095225
46,0.162505,0.083916
47,0.162505,0.092504
48,0.162505,0.069724
49,0.162505,0.080859
50,0.162505,0.086196
51,0.162505,0.096463
52,0.162505,0.100721
53,0.162505,0.092468
54,0.162505,0.087246
55,0.162505,0.098756
56,0.162505,0.099446
57,0.162505,0.100455
58,0.162505,0.095417
59,0.162505,0.089318
60,0.162505,0.093603
61,0.162505,0.094764
62,0.162505,0.092151
63,0.162505,0.080966
64,0.162597,0.101170
65,0.162597,0.100527
66,0.162597,0.086618
67,0.162640,0.099274
68,0.162640,0.108985
69,0.162640,0.110956
70,0.162640,0.112698
71,0.162640,0.116525
72,0.162640,0.119623
73,0.162640,0.117939
74,0.162640,0.115813
75,0.162640,0.109668
76,0.163038,0.108057
77,0.163038,0.107686
78,0.163038,0.107286
79,0.163038,0.105251
80,0.163038,0.093297
81,0.163038,0.104153
82,0.163847,0.104241
83,0.163847,0.108860
84,0.163847,0.102708
85,0.163847,0.112534
86,0.163847,0.105029
87,0.163847,0.104847
88,0.163847,0.105022
89,0.163866,0.108033
90,0.163866,0.097326
91,0.163866,0.082451
92,0.163866,0.084474
93,0.163973,0.093375
94,0.164117,0.103998
95,0.164117,0.102979
96,0.164117,0.100090
97,0.164117,0.085466
98,0.164203,0.087717
99,0.164203,0.095750
100,0.164203,0.107976
101,0.164203,0.110923
102,0.164203,0.109416
103,0.164203,0.100930
104,0.164203,0.099444
105,0.164203,0.107868
106,0.164203,0.099183
107,0.164203,0.100183
108,0.164203,0.098911
109,0.164252,0.099362
110,0.164252,0.099672
111,0.164252,0.096541
112,0.164252,0.105461
113,0.164252,0.107813
114,0.165846,0.102536
115,0.165846,0.105649
116,0.165846,0.102874
117,0.165846,0.103397
118,0.165846,0.097276
119,0.165846,0.093349
120,0.165846,0.097991
121,0.166408,0.117056
122,0.166408,0.118420
123,0.166408,0.111490
124,0.166408,0.112652
125,0.166408,0.115785
126,0.166408,0.116090
127,0.166408,0.112983
128,0.166408,0.116214
129,0.166408,0.118984
130,0.166408,0.116604
131,0.166408,0.111072
132,0.166408,0.098889
133,0.166408,0.107312
134,0.166408,0.111293
135,0.166408,0.112725
136,0.166408,0.115730
137,0.166408,0.115635
138,0.166408,0.115090
139,0.166408,0.117291
140,0.166821,0.122027
141,0.166821,0.123539
142,0.166821,0.117760
143,0.166821,0.113115
144,0.166821,0.106687
145,0.166821,0.094782
146,0.166821,0.105442
147,0.166821,0.103865
148,0.166821,0.103605
149,0.166821,0.109634
150,0.166821,0.114068
151,0.167734,0.112952
152,0.167734,0.098157
153,0.167734,0.105956
154,0.167734,0.098534
155,0.167734,0.087184
156,0.167734,0.096419
157,0.167734,0.102642
158,0.167734,0.108940
159,0.167734,0.101482
160,0.167734,0.104961
161,0.167734,0.107275
162,0.167734,0.116176
