geracao,melhor_aptidao,aptidao_media
0,0.139342,0.057212
1,0.155918,0.105526
2,0.155918,0.118789
3,0.156666,0.130201
4,0.157417,0.137674
5,0.158991,0.137805
6,0.159682,0.141143
7,0.159854,0.141618
8,0.161062,0.143834
9,0.162390,0.147334
10,0.162390,0.147289
11,0.163350,0.147780
12,0.163781,0.150376
13,0.164944,0.152245
14,0.164944,0.149837
15,0.165536,0.148073
16,0.165677,0.153819
17,0.165722,0.152695
18,0.165768,0.150947
19,0.167005,0.151978
20,0.167051,0.148589
21,0.167051,0.153064
22,0.167051,0.153263
23,0.167197,0.151368
24,0.167281,0.154411
25,0.167281,0.155154
26,0.167281,0.150375
27,0.167420,0.151954
28,0.167420,0.153630
29,0.167527,0.153737
30,0.167527,0.153973
31,0.167527,0.153194
32,0.167918,0.155897
33,0.167918,0.156357
34,0.167954,0.151717
35,0.167954,0.152174
36,0.168385,0.153479
37,0.168385,0.151448
38,0.168385,0.153953
39,0.168416,0.156874
40,0.168460,0.154476
41,0.168460,0.157372
42,0.168460,0.157156
43,0.168553,0.156739
44,0.168593,0.153994
45,0.168593,0.154948
46,0.168593,0.154665
47,0.168684,0.156316
48,0.168684,0.154375
49,0.168684,0.156740
50,0.168751,0.153454
51,0.168751,0.153150
52,0.168751,0.154762
53,0.168751,0.154242
54,0.168930,0.154729
55,0.168930,0.153341
56,0.168930,0.154797
57,0.169253,0.155109
58,0.169253,0.157557
59,0.169253,0.155713
60,0.169432,0.158423
61,0.169434,0.157717
62,0.169434,0.156737
63,0.169434,0.157364
64,0.169434,0.155695
65,0.169434,0.153211
66,0.169434,0.152936
67,0.169434,0.157386
68,0.169457,0.156432
69,0.169457,0.152866
70,0.169457,0.154923
71,0.169457,0.152948
72,0.169457,0.156628
73,0.169457,0.154627
74,0.169457,0.155147
75,0.169457,0.156520
76,0.169457,0.154442
77,0.169457,0.152098
78,0.169457,0.154162
79,0.169457,0.155717
80,0.169457,0.153315
81,0.169457,0.153248
82,0.169457,0.153506
83,0.169457,0.153137
84,0.169457,0.153926
85,0.169457,0.157986
86,0.169457,0.155342
87,0.169457,0.158926
88,0.169457,0.153671
89,0.169457,0.154704
90,0.169550,0.155285
91,0.169550,0.154988
92,0.169566,0.152169
93,0.169566,0.153906
94,0.169566,0.154467
95,0.169566,0.155544
96,0.169566,0.157268
97,0.169566,0.152749
98,0.169566,0.156445
99,0.169566,0.152143
100,0.169566,0.152234
101,0.169566,0.154121
102,0.169566,0.153551
103,0.169566,0.150594
104,0.169566,0.154842
105,0.169566,0.156246
106,0.169566,0.158287
107,0.169566,0.158076
108,0.169566,0.154918
109,0.169566,0.155562
110,0.169566,0.156440
111,0.169566,0.153368
112,0.169566,0.153538
113,0.169566,0.153739
114,0.169566,0.156384
115,0.169566,0.152234
116,0.169566,0.154280
117,0.169566,0.155493
118,0.169566,0.155730
119,0.169566,0.152974
120,0.169566,0.157769
121,0.169566,0.153408
122,0.169566,0.156737
123,0.169566,0.153804
124,0.169566,0.154583
125,0.169566,0.154574
126,0.169566,0.154586
127,0.169566,0.154075
128,0.169566,0.157788
129,0.169566,0.153558
130,0.169566,0.156280
131,0.169566,0.154350
132,0.169566,0.151123
133,0.169566,0.154946
134,0.169566,0.156112
135,0.169566,0.151589
136,0.169566,0.153333
137,0.169566,0.154627
138,0.169566,0.155329
139,0.169566,0.155451
140,0.169566,0.154406
141,0.169566,0.157426
142,0.169566,0.154742
143,0.169566,0.154048
144,0.169566,0.157162
145,0.169566,0.152692
146,0.169566,0.155449
147,0.169566,0.153452
148,0.169566,0.154324
149,0.169566,0.156825
150,0.169566,0.156775
151,0.169566,0.156385
152,0.169566,0.155423
153,0.169566,0.156847
154,0.169566,0.156616
155,0.169566,0.151703
156,0.169566,0.157335
157,0.169566,0.156910
158,0.169566,0.152198
159,0.169566,0.151327
160,0.169566,0.156730
161,0.169566,0.154639
162,0.169566,0.153738
163,0.169566,0.153414
164,0.169566,0.158813
165,0.169566,0.155312
166,0.169566,0.152658
167,0.169566,0.154722
168,0.169566,0.155108
169,0.169566,0.152080
170,0.169566,0.155853
171,0.169566,0.155576
172,0.169625,0.153615
173,0.169625,0.155054
174,0.169625,0.152803
175,0.169625,0.153158
176,0.169625,0.153782
177,0.169625,0.155773
178,0.169625,0.156253
179,0.169625,0.153832
180,0.169625,0.156952
181,0.169625,0.151988
182,0.169711,0.154801
183,0.169711,0.155756
184,0.169711,0.155181
185,0.169711,0.154908
186,0.169711,0.153905
187,0.169711,0.156628
188,0.169711,0.155467
189,0.169711,0.157572
190,0.169711,0.159181
191,0.169711,0.152722
192,0.169711,0.153871
193,0.169711,0.156720
194,0.169711,0.155884
195,0.169711,0.153780
196,0.169711,0.152471
197,0.169711,0.157787
198,0.169711,0.158349
199,0.169711,0.156670
200,0.169711,0.155318
201,0.169711,0.154638
202,0.169711,0.157149
203,0.169711,0.154811
204,0.169711,0.157893
205,0.169711,0.156050
206,0.169711,0.153303
207,0.169711,0.156035
208,0.169711,0.154344
209,0.169711,0.156104
210,0.169711,0.154251
211,0.169711,0.156021
212,0.169711,0.155553
213,0.169711,0.154981
214,0.169711,0.156330
215,0.169721,0.156361
216,0.169721,0.154637
217,0.169721,0.156870
218,0.169721,0.153008
219,0.169721,0.155504
220,0.169721,0.154367
221,0.169721,0.152362
222,0.169721,0.157375
223,0.169721,0.153598
224,0.169721,0.154214
225,0.169721,0.154509
226,0.169721,0.151909
227,0.169721,0.154739
228,0.169721,0.155836
229,0.169721,0.152007
230,0.169721,0.156490
231,0.169721,0.156353
232,0.169721,0.154790
